epoch,box,cls,dfl,Recall,Precision,F1,mAP@50,mAP
183,1.430,1.617,0.067,0.459,0.615,0.507,0.499,0.349
184,1.426,1.611,0.067,0.458,0.614,0.507,0.499,0.350
185,1.431,1.611,0.067,0.460,0.610,0.507,0.500,0.350
186,1.430,1.611,0.067,0.458,0.615,0.507,0.500,0.350
187,1.429,1.613,0.067,0.457,0.614,0.506,0.499,0.350
188,1.427,1.607,0.067,0.454,0.626,0.508,0.500,0.350
189,1.428,1.607,0.067,0.456,0.618,0.507,0.500,0.350
190,1.429,1.609,0.067,0.456,0.620,0.507,0.501,0.350
191,1.430,1.610,0.067,0.457,0.619,0.507,0.501,0.351
192,1.431,1.612,0.067,0.454,0.623,0.507,0.500,0.350
193,1.428,1.610,0.067,0.451,0.624,0.505,0.500,0.350
194,1.430,1.608,0.067,0.453,0.625,0.507,0.500,0.351
195,1.429,1.611,0.067,0.452,0.629,0.508,0.501,0.350
196,1.430,1.611,0.067,0.453,0.625,0.508,0.501,0.351
197,1.431,1.609,0.067,0.451,0.633,0.508,0.502,0.351
198,1.428,1.609,0.067,0.452,0.629,0.507,0.501,0.351
199,1.433,1.611,0.067,0.458,0.615,0.507,0.502,0.352
200,1.431,1.611,0.067,0.457,0.615,0.506,0.502,0.352
201,1.433,1.609,0.067,0.460,0.613,0.509,0.502,0.352
202,1.430,1.607,0.067,0.459,0.617,0.509,0.502,0.352
203,1.431,1.612,0.067,0.463,0.609,0.509,0.502,0.352
204,1.432,1.609,0.067,0.462,0.615,0.510,0.502,0.352
205,1.432,1.609,0.067,0.465,0.615,0.512,0.503,0.352
206,1.431,1.606,0.067,0.464,0.615,0.511,0.503,0.352
207,1.432,1.606,0.067,0.462,0.614,0.509,0.503,0.352
208,1.433,1.611,0.067,0.459,0.618,0.509,0.503,0.352
209,1.435,1.610,0.067,0.459,0.621,0.509,0.503,0.353
210,1.434,1.606,0.066,0.460,0.617,0.509,0.504,0.353
211,1.430,1.607,0.066,0.459,0.615,0.507,0.503,0.353
212,1.434,1.610,0.066,0.457,0.619,0.508,0.503,0.352
213,1.435,1.611,0.067,0.454,0.628,0.508,0.504,0.353
214,1.433,1.611,0.067,0.453,0.629,0.508,0.503,0.353
215,1.431,1.607,0.067,0.454,0.624,0.508,0.503,0.352
216,1.436,1.609,0.067,0.454,0.628,0.509,0.504,0.353
217,1.435,1.608,0.066,0.454,0.630,0.509,0.504,0.353
218,1.430,1.608,0.067,0.456,0.631,0.510,0.505,0.354
219,1.434,1.610,0.066,0.453,0.633,0.509,0.505,0.354
220,1.435,1.610,0.066,0.457,0.623,0.509,0.505,0.354
221,1.437,1.604,0.066,0.456,0.622,0.508,0.505,0.354
222,1.435,1.610,0.067,0.453,0.633,0.509,0.506,0.354
223,1.435,1.612,0.067,0.455,0.629,0.510,0.506,0.354
224,1.437,1.608,0.067,0.456,0.631,0.511,0.506,0.354
225,1.435,1.605,0.066,0.458,0.624,0.510,0.506,0.354
226,1.437,1.606,0.066,0.460,0.619,0.510,0.505,0.354
227,1.438,1.606,0.066,0.458,0.622,0.510,0.505,0.355
228,1.436,1.606,0.066,0.463,0.618,0.511,0.506,0.355
229,1.435,1.608,0.066,0.465,0.616,0.512,0.507,0.356
230,1.435,1.604,0.066,0.464,0.620,0.513,0.507,0.356
231,1.439,1.605,0.066,0.463,0.626,0.514,0.507,0.356
232,1.437,1.608,0.066,0.468,0.615,0.514,0.507,0.356
233,1.437,1.606,0.066,0.464,0.623,0.514,0.507,0.357
234,1.438,1.605,0.066,0.465,0.616,0.512,0.507,0.356
235,1.436,1.607,0.066,0.461,0.623,0.511,0.507,0.356
236,1.438,1.606,0.066,0.462,0.616,0.510,0.508,0.356
237,1.439,1.607,0.066,0.460,0.617,0.509,0.507,0.356
238,1.437,1.604,0.066,0.462,0.616,0.511,0.507,0.356
239,1.438,1.606,0.066,0.466,0.613,0.512,0.508,0.357
240,1.438,1.605,0.066,0.466,0.615,0.513,0.508,0.357
241,1.440,1.604,0.066,0.467,0.617,0.514,0.508,0.356
242,1.437,1.608,0.066,0.466,0.617,0.514,0.508,0.357
243,1.441,1.607,0.066,0.468,0.617,0.515,0.508,0.357
244,1.438,1.608,0.066,0.464,0.624,0.514,0.508,0.357
245,1.439,1.606,0.066,0.463,0.628,0.515,0.508,0.357
246,1.438,1.603,0.066,0.461,0.634,0.516,0.508,0.357
247,1.443,1.606,0.066,0.465,0.625,0.515,0.508,0.357
248,1.440,1.601,0.066,0.459,0.630,0.513,0.508,0.357
249,1.442,1.606,0.066,0.460,0.626,0.513,0.509,0.358
250,1.442,1.607,0.066,0.464,0.620,0.514,0.509,0.357
251,1.441,1.602,0.066,0.463,0.623,0.514,0.509,0.358
252,1.443,1.605,0.066,0.469,0.618,0.515,0.509,0.358
253,1.444,1.605,0.066,0.463,0.624,0.514,0.509,0.358
254,1.443,1.605,0.066,0.461,0.625,0.513,0.509,0.358
255,1.442,1.607,0.066,0.465,0.623,0.515,0.509,0.358
256,1.441,1.601,0.066,0.467,0.619,0.515,0.509,0.358
257,1.439,1.607,0.066,0.472,0.609,0.515,0.510,0.358
258,1.442,1.603,0.066,0.468,0.614,0.514,0.510,0.358
259,1.444,1.607,0.066,0.466,0.618,0.514,0.510,0.358
260,1.444,1.605,0.066,0.468,0.611,0.513,0.510,0.358
261,1.441,1.605,0.066,0.472,0.604,0.513,0.510,0.358
262,1.445,1.607,0.066,0.465,0.620,0.515,0.511,0.359
263,1.440,1.607,0.066,0.466,0.622,0.516,0.511,0.359
264,1.445,1.607,0.066,0.466,0.623,0.516,0.511,0.359
265,1.444,1.607,0.066,0.468,0.622,0.517,0.510,0.359
266,1.444,1.605,0.066,0.465,0.623,0.516,0.510,0.359
267,1.446,1.605,0.066,0.467,0.625,0.518,0.511,0.359
268,1.445,1.606,0.066,0.465,0.626,0.516,0.512,0.359
269,1.443,1.604,0.066,0.467,0.624,0.517,0.511,0.359
270,1.448,1.608,0.066,0.465,0.628,0.517,0.511,0.359
271,1.443,1.603,0.066,0.463,0.631,0.516,0.511,0.359
272,1.445,1.606,0.066,0.468,0.624,0.517,0.512,0.359
273,1.443,1.605,0.066,0.467,0.628,0.518,0.512,0.360
274,1.444,1.605,0.066,0.470,0.626,0.519,0.512,0.360
275,1.448,1.605,0.066,0.470,0.620,0.517,0.512,0.360
276,1.446,1.602,0.066,0.468,0.635,0.520,0.512,0.360
277,1.444,1.607,0.066,0.467,0.632,0.519,0.512,0.360
278,1.443,1.606,0.066,0.470,0.626,0.519,0.511,0.360
279,1.448,1.603,0.066,0.470,0.628,0.520,0.512,0.360
280,1.446,1.606,0.066,0.469,0.632,0.520,0.512,0.360
281,1.448,1.606,0.066,0.469,0.625,0.518,0.511,0.360
282,1.450,1.605,0.066,0.465,0.636,0.520,0.512,0.360
283,1.444,1.603,0.066,0.465,0.632,0.519,0.513,0.361
284,1.447,1.605,0.066,0.464,0.636,0.518,0.513,0.361
285,1.446,1.602,0.066,0.467,0.641,0.522,0.514,0.362
286,1.449,1.605,0.066,0.468,0.644,0.523,0.514,0.362
287,1.447,1.603,0.066,0.467,0.642,0.522,0.514,0.362
288,1.447,1.605,0.066,0.466,0.633,0.519,0.513,0.361
289,1.446,1.604,0.066,0.466,0.632,0.519,0.513,0.361
290,1.449,1.604,0.066,0.466,0.630,0.518,0.513,0.361
291,1.446,1.604,0.066,0.466,0.627,0.518,0.512,0.360
292,1.447,1.602,0.066,0.469,0.622,0.517,0.512,0.360
293,1.448,1.604,0.066,0.468,0.628,0.519,0.513,0.360
294,1.450,1.603,0.066,0.470,0.624,0.519,0.513,0.360
295,1.450,1.603,0.066,0.470,0.625,0.519,0.513,0.361
296,1.447,1.602,0.066,0.464,0.634,0.518,0.512,0.361
297,1.449,1.605,0.066,0.467,0.629,0.518,0.513,0.361
298,1.451,1.603,0.066,0.472,0.621,0.519,0.514,0.362
299,1.452,1.604,0.066,0.472,0.620,0.519,0.513,0.361
300,1.451,1.603,0.066,0.471,0.623,0.519,0.513,0.361
301,1.450,1.607,0.066,0.469,0.622,0.518,0.513,0.361
302,1.451,1.608,0.066,0.469,0.623,0.518,0.514,0.362
303,1.451,1.603,0.066,0.471,0.625,0.519,0.514,0.362
304,1.453,1.604,0.066,0.473,0.620,0.519,0.513,0.362
305,1.452,1.606,0.066,0.471,0.632,0.521,0.514,0.362
306,1.454,1.603,0.066,0.470,0.632,0.520,0.514,0.362
307,1.449,1.602,0.066,0.472,0.631,0.521,0.515,0.362
308,1.453,1.604,0.066,0.469,0.643,0.524,0.515,0.363
309,1.456,1.604,0.066,0.471,0.637,0.523,0.515,0.363
310,1.453,1.604,0.066,0.473,0.632,0.523,0.516,0.363
311,1.456,1.606,0.065,0.473,0.634,0.523,0.516,0.363
312,1.450,1.603,0.065,0.475,0.632,0.523,0.516,0.363
313,1.453,1.604,0.066,0.474,0.631,0.523,0.515,0.363
314,1.455,1.605,0.066,0.472,0.622,0.519,0.514,0.362
315,1.454,1.600,0.066,0.475,0.621,0.521,0.515,0.363
316,1.451,1.603,0.065,0.474,0.621,0.520,0.515,0.363
317,1.453,1.603,0.065,0.476,0.623,0.522,0.516,0.363
318,1.453,1.601,0.066,0.474,0.628,0.523,0.515,0.363
319,1.455,1.607,0.065,0.474,0.627,0.522,0.516,0.364
320,1.456,1.606,0.065,0.472,0.644,0.525,0.517,0.365
321,1.454,1.605,0.065,0.471,0.645,0.525,0.517,0.364
322,1.453,1.603,0.065,0.473,0.637,0.524,0.517,0.365
323,1.454,1.607,0.066,0.473,0.634,0.524,0.517,0.365
324,1.454,1.603,0.065,0.472,0.635,0.523,0.516,0.364
325,1.454,1.603,0.065,0.472,0.633,0.523,0.516,0.364
326,1.460,1.604,0.066,0.472,0.634,0.523,0.516,0.363
327,1.456,1.606,0.065,0.470,0.637,0.523,0.516,0.363
328,1.456,1.603,0.065,0.471,0.638,0.524,0.516,0.364
329,1.456,1.606,0.065,0.470,0.634,0.522,0.517,0.364
330,1.461,1.606,0.066,0.474,0.632,0.524,0.518,0.364
331,1.459,1.601,0.065,0.472,0.633,0.523,0.517,0.363
332,1.457,1.602,0.065,0.473,0.629,0.523,0.517,0.363
333,1.459,1.606,0.065,0.472,0.632,0.523,0.517,0.364
334,1.460,1.605,0.065,0.472,0.632,0.524,0.518,0.364
335,1.460,1.607,0.065,0.472,0.632,0.523,0.518,0.364
336,1.457,1.604,0.065,0.471,0.636,0.524,0.517,0.365
337,1.458,1.602,0.065,0.473,0.635,0.525,0.518,0.365
